name,slug,category,tvl_usd,chains,website,twitter
Hylo LSTs,hylo-lsts,Liquid Staking,21052010.39,Solana,https://hylo.so/leverage?ref=XG3NTI,hylo_so
RockSolid Network,rocksolid-network,Yield,20959198.47,Ethereum,https://rocksolid.network/,rocksolidhq
Meta Pool ETH,meta-pool-eth,Liquid Staking,20943967.31,Ethereum,https://metapool.app,meta_pool
TruStake,trustake,Liquid Staking,20880714.89,"Aptos, Injective, Solana, Ethereum, Near",https://app.trufin.io/,TruFinProtocol
MYX Finance,myx-finance,Derivatives,20193957.42,"Binance, Linea, Arbitrum, Op_Bnb",https://app.myx.finance/referrals?invitationCode=H43P6XB,MYX_Finance
Felix USDhl,felix-usdhl,Yield,20094021.83,"Ethereum, Hyperliquid L1",https://www.usefelix.xyz?ref=4BF702FF,usd_hl
Bonk Staked SOL,bonk-staked-sol,Liquid Staking,19408613.44,Solana,https://bonkcoin.com,bonk_inu
Overnight Finance,overnight-finance,CDP,18489057.5,"Blast, Base, Arbitrum, zkSync Era, Linea, Polygon",https://overnight.fi,overnight_fi
Royco Protocol,royco-protocol,Yield,18258252.61,"Berachain, Arbitrum, Ethereum, Plume Mainnet, Sonic, Base",https://www.royco.org,roycoprotocol
Proxy,proxy,Bridge,17870800.44,"Polygon, Ethereum",https://btcproxy.io/,BTC_proxy
Wasabi,wasabi,Derivatives,16859476.83,"Base, Ethereum, Solana, Blast, Berachain",https://www.wasabi.xyz,wasabi_protocol
Templar Protocol,templar-protocol,Lending,16811946.72,"Bitcoin, Stellar, Ethereum, Near, Zcash, Solana",https://www.templarfi.org/,TemplarProtocol
Injective Bridge,injective-bridge,Bridge,16766988.25,Ethereum,https://injective.com,injective
Orderly Bridge,orderly-bridge,Bridge,16533879.01,"Solana, Arbitrum, Abstract, Binance, Ethereum, Berachain",https://orderly.network,OrderlyNetwork
Orbit Bridge,orbit-bridge,Bridge,16353038.18,"Ripple, Silicon zkEVM, Binance, WEMIX, Klaytn, Ethereum",https://bridge.orbitchain.io,Orbit_Chain
Contango V2,contango-v2,Derivatives,15848577.37,"Ethereum, Base, Arbitrum, Optimism, Avalanche, xDai",https://contango.xyz,Contango_xyz
Folks Finance xChain,folks-finance-xchain,Lending,15713056.25,"Avalanche, Polygon, Ethereum, Monad, Sei, Arbitrum",https://xapp.folks.finance,FolksFinance
TermFinance Vaults,termfinance-vaults,Yield,15702396.58,"Ethereum, Plasma, Binance, Avalanche, Arbitrum, Base",https://www.term.finance,term_labs
GETH,geth,Liquid Staking,15236636.7,Ethereum,https://guarda.com/staking/ethereum-staking/,GuardaWallet
Gravity Bridge,gravity-bridge,Bridge,15153895.12,"GravityBridge, Ethereum",https://www.gravitybridge.net,gravity_bridge
Latch,latch,Yield,15041183.45,Ethereum,https://savings.latch.io/,UseLatch
Bucket CDP,bucket-cdp,CDP,14782691.22,Sui,https://bucketprotocol.io,bucket_protocol
GMTrade,gmtrade,Derivatives,14469598.29,Solana,https://gmtrade.xyz/referrals/?ref=545,gmtrade_xyz
Stroom,stroom,Liquid Staking,13975129.33,Bitcoin,https://stroom.network/,StroomNetwork
Fuel Bridge,fuel-bridge,Bridge,13422118.24,Ethereum,https://app.fuel.network/bridge,fuel_network
Morph Bridge,morph-bridge,Bridge,13312272.47,Ethereum,https://bridge.morphl2.io/,Morphl2
pNetwork,pnetwork,Bridge,13099805.9,"Binance, Ethereum, Ultra, Algorand, Arbitrum, Polygon",https://p.network,pNetworkDeFi
Bucket Protocol V2,bucket-protocol-v2,CDP,12130863.74,Sui,https://bucketprotocol.io,bucket_protocol
Pico Staked SOL,pico-staked-sol,Liquid Staking,11786854.22,Solana,https://pico-sol.com,pico__sol
FlashTrade,flashtrade,Derivatives,11395402.19,Solana,https://www.flash.trade?referral=defillama,FlashTrade
Abracadabra Spell,abracadabra-spell,CDP,11009196.2,"Arbitrum, Ethereum, Blast, Binance, Kava, Avalanche",https://abracadabra.money/,MIM_Spell
BTCFi CDP,btcfi-cdp,CDP,10597316.42,"Bitcoin, Bifrost Network, Base, CORE",https://btcfi.one,Bifrost_Network
Universal Bridge,universal-bridge,Bridge,10381111.66,Ethereum,https://www.universal.xyz,universaldotxyz
RateX DEX,ratex-dex,Yield,10254372.55,"Solana, Binance",https://app.rate-x.io/referral?ref=VS71Wksp,RateX_Dex
Carrot Lend,carrot-lend,Lending,10239910.39,Solana,https://use.deficarrot.com?code=0eb6b6,DeFiCarrot
Axelar Cross Chain,axelar-cross-chain,Bridge,10232167.24,"Binance, Arbitrum, Ethereum",https://axelar.network,axelar
marginfi LST,marginfi-lst,Liquid Staking,9957800.51,Solana,https://app.marginfi.com/stake,marginfi
MUX Perps,mux-perps,Derivatives,9769695.83,"Arbitrum, Avalanche, Binance, Optimism, Fantom",https://mux.network/,muxprotocol
Inverse Finance Frontier,inverse-finance-frontier,CDP,9168352.67,Ethereum,https://inverse.finance/,InverseFinance
Stronghold Staked SOL,stronghold-staked-sol,Liquid Staking,9092611.69,Solana,https://strongholdsol.com/,StrongholdSOL
Hegic,hegic,Options,9086775.78,"Arbitrum, Ethereum",https://www.hegic.co/?ref=0x798ff1e6d7afd28c333ee6ebe03125d30ec6ef10,HegicOptions
ioTube,iotube,Bridge,8997864.85,"Ethereum, IoTeX, Binance, Polygon",https://iotube.org,iotube_org
Dinero (pxETH),dinero-(pxeth),Liquid Staking,8835391.72,Ethereum,https://dinero.xyz,dinero_xyz
Altitude.Fi,altitude.fi,Lending,8603366.37,Ethereum,https://www.altitude.fi/,AltitudeFi_
Mole,mole,Yield,8499915.28,"Sui, Aptos",https://mole.fi,moledefi
Bluefin Pro,bluefin-pro,Derivatives,8451008.51,Sui,https://bluefin.io,bluefinapp
Toros,toros,Derivatives,8376696.57,"Arbitrum, Optimism, Base, Ethereum, Polygon",https://toros.finance,torosfinance
Lantern Staked SOL,lantern-staked-sol,Liquid Staking,8199237.78,Solana,https://www.lantern.one/,LanternStake
BiFi,bifi,Lending,7969813.65,"Bifrost Network, Ethereum, Binance, Klaytn, Avalanche",https://bifi.finance/,BiFi_lending
Revert Lend,revert-lend,Lending,7808468.4,"Arbitrum, Base, Ethereum",https://revert.finance/#/ref/w6vno3,revertfinance
Boros,boros,Derivatives,7700923.9,Arbitrum,https://boros.pendle.finance/markets,boros_fi
AlphaFi stSUI,alphafi-stsui,Liquid Staking,7655949.78,Sui,https://stsui.com,stSUI_AlphaFi
Piku,piku,Yield,7458658.04,Ethereum,https://piku.co/,piku_dao
CLever,clever,Yield,7404257.72,Ethereum,https://clever.aladdin.club/,0xC_Lever
Volo LST,volo-lst,Liquid Staking,7359409.26,Sui,https://www.volosui.com/,volo_sui
Laine SOL,laine-sol,Liquid Staking,7338645.75,Solana,https://stake.laine.one,laine_sa_
Dexalot Portfolio,dexalot-portfolio,Bridge,7207149.83,"Avalanche, Arbitrum, Binance, Ethereum, Base",https://app.dexalot.com/,dexalot
ObeliskBTC,obeliskbtc,Bridge,7014483.91,Bitcoin,https://obelisk.nodedao.com,Oblisk_NodeDAO
Antarctic,antarctic,Derivatives,6950621.24,Arbitrum,https://www.antarctic.exchange/,Antarctic_EX
Deri V4,deri-v4,Options,6923868.11,"Linea, Binance, zkSync Era, Base, Supra, Polygon zkEVM",https://deri.io/#/trade/options,DeriProtocol
Unitus,unitus,Lending,6878925.49,"Conflux, Ethereum, Binance, Arbitrum, Base, Polygon",https://unitus.finance/,unitusfi
ZyFAI,zyfai,Yield,6783402.95,"Base, Arbitrum, Sonic, Plasma",https://zyf.ai,ZyfAI_
Aave V1,aave-v1,Lending,6745219.97,Ethereum,https://aave.com,aave
Allbridge Classic,allbridge-classic,Bridge,6680254.87,"Ethereum, Solana, Polygon, Binance, Avalanche, Near",https://app.allbridge.io,Allbridge_io
Starke Staked SOL,starke-staked-sol,Liquid Staking,6383558.11,Solana,https://starke.finance/rksol,StarkeFinance
Radpie,radpie,Yield,6376937.68,"Arbitrum, Binance",https://www.radiant.magpiexyz.io/stake,Radpiexyz_io
hemiBTC,hemibtc,Bridge,6252688.84,Bitcoin,https://app.hemi.xyz/en/tunnel/,hemi_xyz
Sphere Finance,sphere-finance,Yield,6204491.94,Polygon,https://sphere.finance,SphereDeFi
Origin ARM,origin-arm,Yield,6159821.93,"Ethereum, Sonic",https://www.originprotocol.com/arm,OriginProtocol
Angle,angle,CDP,6151257.3,"Ethereum, Arbitrum, Polygon, Optimism, Avalanche, Binance",https://app.angle.money,AngleProtocol
Francium,francium,Yield,6144136.0,Solana,https://francium.io,Francium_Defi
WOOFi Earn,woofi-earn,Yield,6111611.61,"Arbitrum, Base, Avalanche, Mantle, Binance, Optimism",https://fi.woo.org/earn,_WOOFi
