project,website,twitter,category,tvl_usd,signal,message_seed,status
Drift Trade,https://app.drift.trade/ref/defillama,DriftProtocol,Derivatives,334809747.68,"Derivatives protocol on Solana with TVL $334,809,748","Noticed Drift Trade (Derivatives protocol on Solana with TVL $334,809,748). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Stader,https://staderlabs.com,staderlabs,Liquid Staking,328811132.67,"Liquid Staking protocol on Ethereum with TVL $328,811,133","Noticed Stader (Liquid Staking protocol on Ethereum with TVL $328,811,133). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Coinbase Wrapped Staked ETH,https://www.coinbase.com/price/coinbase-wrapped-staked-eth,coinbase,Liquid Staking,283954481.62,"Liquid Staking protocol on Ethereum with TVL $283,954,482","Noticed Coinbase Wrapped Staked ETH (Liquid Staking protocol on Ethereum with TVL $283,954,482). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Kraken Bitcoin,https://www.kraken.com/kbtc,krakenfx,Bridge,282277402.09,"Bridge protocol on Bitcoin with TVL $282,277,402","Noticed Kraken Bitcoin (Bridge protocol on Bitcoin with TVL $282,277,402). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
GMX V2 Perps,https://gmx.io/#/?ref=defillama,GMX_IO,Derivatives,274638673.32,"Derivatives protocol on Arbitrum with TVL $274,638,673","Noticed GMX V2 Perps (Derivatives protocol on Arbitrum with TVL $274,638,673). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Marinade Liquid Staking,https://marinade.finance,MarinadeFinance,Liquid Staking,265279343.05,"Liquid Staking protocol on Solana with TVL $265,279,343","Noticed Marinade Liquid Staking (Liquid Staking protocol on Solana with TVL $265,279,343). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Lombard BTC.b,https://www.lombard.finance/app/stake/?referrer=ssybnl,Lombard_Finance,Bridge,260519703.15,"Bridge protocol on Bitcoin with TVL $260,519,703","Noticed Lombard BTC.b (Bridge protocol on Bitcoin with TVL $260,519,703). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Multipli.fi,https://app.multipli.fi?referral_code=Y7YQDT,multiplifi,Yield,233351766.18,"Yield protocol on Ethereum with TVL $233,351,766","Noticed Multipli.fi (Yield protocol on Ethereum with TVL $233,351,766). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Benqi Staked Avax,https://app.benqi.fi/savax,BenqiFinance,Liquid Staking,224275727.57,"Liquid Staking protocol on Avalanche with TVL $224,275,728","Noticed Benqi Staked Avax (Liquid Staking protocol on Avalanche with TVL $224,275,728). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Dolomite,https://dolomite.io,Dolomite_io,Lending,222166073.0,"Lending protocol on Ethereum with TVL $222,166,073","Noticed Dolomite (Lending protocol on Ethereum with TVL $222,166,073). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Extended,https://app.extended.exchange/join/LLAMAS123,extendedapp,Derivatives,216424552.55,"Derivatives protocol on Starknet with TVL $216,424,553","Noticed Extended (Derivatives protocol on Starknet with TVL $216,424,553). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
cap,https://cap.app/,capmoney_,Lending,210735051.98,"Lending protocol on Ethereum with TVL $210,735,052","Noticed cap (Lending protocol on Ethereum with TVL $210,735,052). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Connext,https://connext.network/,EverclearOrg,Bridge,199650701.83,"Bridge protocol on Ethereum with TVL $199,650,702","Noticed Connext (Bridge protocol on Ethereum with TVL $199,650,702). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
edgeX Bridge,https://pro.edgex.exchange/referral/196451583,edgeX_exchange,Bridge,182883708.63,"Bridge protocol on Ethereum with TVL $182,883,709","Noticed edgeX Bridge (Bridge protocol on Ethereum with TVL $182,883,709). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
infiniFi,https://infinifi.xyz?ref=XXKTY1S9,infiniFi,Yield,173478464.43,"Yield protocol on Ethereum with TVL $173,478,464","Noticed infiniFi (Yield protocol on Ethereum with TVL $173,478,464). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Paradex Bridge,https://app.paradex.trade/r/defillama,tradeparadex,Bridge,169847300.48,"Bridge protocol on Ethereum with TVL $169,847,300","Noticed Paradex Bridge (Bridge protocol on Ethereum with TVL $169,847,300). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Suilend,https://www.suilend.fi,suilendprotocol,Lending,165681800.67,"Lending protocol on Sui with TVL $165,681,801","Noticed Suilend (Lending protocol on Sui with TVL $165,681,801). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Drift Staked SOL,https://app.drift.trade/ref/defillama,DriftProtocol,Liquid Staking,162507337.36,"Liquid Staking protocol on Solana with TVL $162,507,337","Noticed Drift Staked SOL (Liquid Staking protocol on Solana with TVL $162,507,337). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Liquity V1,https://www.liquity.org/,LiquityProtocol,CDP,153900016.68,"CDP protocol on Ethereum with TVL $153,900,017","Noticed Liquity V1 (CDP protocol on Ethereum with TVL $153,900,017). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Compound V2,https://compound.finance,compoundfinance,Lending,153657558.92,"Lending protocol on Ethereum with TVL $153,657,559","Noticed Compound V2 (Lending protocol on Ethereum with TVL $153,657,559). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Strata Markets,https://strata.money,strata_markets,Yield,150087794.73,"Yield protocol on Ethereum with TVL $150,087,795","Noticed Strata Markets (Yield protocol on Ethereum with TVL $150,087,795). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Benqi Lending,https://benqi.fi,BenqiFinance,Lending,149933370.32,"Lending protocol on Avalanche with TVL $149,933,370","Noticed Benqi Lending (Lending protocol on Avalanche with TVL $149,933,370). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
exSat Staking BTC,https://esbtc.exsat.network/,exSatNetwork,Bridge,147324627.41,"Bridge protocol on Bitcoin with TVL $147,324,627","Noticed exSat Staking BTC (Bridge protocol on Bitcoin with TVL $147,324,627). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
